2026-09-24 15:51:31.656 [INFO] [PID 20948] [TID 2] CampaignStore: каталог загружен. | campaigns=2; root=C:\Users\Admin\Documents\Assist Quest Editor\worlds; readOnly=False
2026-09-24 15:51:31.657 [INFO] [PID 20948] [TID 2] CampaignStore: каталог загружен. | campaigns=1; root=C:\Users\Admin\Documents\Assist Quest Editor\worlds\Демо Мир; readOnly=False
2026-09-24 15:51:31.658 [INFO] [PID 20948] [TID 2] CampaignStore: каталог ограничен миром. | world=C:\Users\Admin\Documents\Assist Quest Editor\worlds\Демо Мир; campaigns=1
2026-09-24 15:51:31.659 [INFO] [PID 20948] [TID 2] QuestDefinitionLoader.LoadDocumentOrFallback() | path=C:\Users\Admin\Documents\Assist Quest Editor\worlds\SibirMap\quests\tutorial_ruslan_shashlik.aqquest; userExists=True; sourceExists=True
2026-09-24 15:51:31.660 [INFO] [PID 20948] [TID 2] Учебный Quest Definition загружен. | questId=tutorial_ruslan_shashlik; nodes=21; connections=20
2026-09-24 15:51:31.661 [INFO] [PID 20948] [TID 2] SceneCatalogLoader.Load() | directory=C:\Users\Admin\Documents\Assist Quest Editor\worlds; exists=True
2026-09-24 15:51:31.668 [INFO] [PID 20948] [TID 2] Scene Definition загружена. | id=gosha_delivery; path=C:\Users\Admin\Documents\Assist Quest Editor\worlds\SibirMap\scenes\gosha_delivery.aqscene
2026-09-24 15:51:31.668 [INFO] [PID 20948] [TID 2] Scene Definition загружена. | id=gosha_meat; path=C:\Users\Admin\Documents\Assist Quest Editor\worlds\SibirMap\scenes\gosha_meat.aqscene
2026-09-24 15:51:31.670 [INFO] [PID 20948] [TID 2] Scene Definition загружена. | id=gosha_shop; path=C:\Users\Admin\Documents\Assist Quest Editor\worlds\SibirMap\scenes\gosha_shop.aqscene
2026-09-24 15:51:31.670 [INFO] [PID 20948] [TID 2] Scene Definition загружена. | id=ruslan_delivery; path=C:\Users\Admin\Documents\Assist Quest Editor\worlds\SibirMap\scenes\ruslan_delivery.aqscene
2026-09-24 15:51:31.671 [INFO] [PID 20948] [TID 2] Scene Definition загружена. | id=ruslan_finish; path=C:\Users\Admin\Documents\Assist Quest Editor\worlds\SibirMap\scenes\ruslan_finish.aqscene
2026-09-24 15:51:31.671 [INFO] [PID 20948] [TID 2] Scene Definition загружена. | id=ruslan_start; path=C:\Users\Admin\Documents\Assist Quest Editor\worlds\SibirMap\scenes\ruslan_start.aqscene
2026-09-24 15:51:31.671 [INFO] [PID 20948] [TID 2] Scene catalog готов. | sceneCount=6
2026-09-24 15:51:31.674 [INFO] [PID 20948] [TID 2] LocationStore: библиотека загружена. | root=C:\Users\Admin\Documents\Assist Quest Editor\locations; count=0; readOnly=False
2026-09-24 15:51:31.685 [INFO] [PID 20948] [TID 2] MainForm создан. Запуск Application.Run().
2026-09-24 15:51:31.694 [INFO] [PID 20948] [TID 2] WebView2: начало инициализации. | form=Редактор; page=main.html
2026-09-24 15:51:31.983 [INFO] [PID 20948] [TID 2] WebView2: CoreWebView2 создан. | browser=153.0.4234.48
2026-09-24 15:51:31.996 [INFO] [PID 20948] [TID 2] WebView2: Navigate. | form=Редактор; uri=file:///C:/Users/Admin/AppData/Local/Temp/.net/AssistQuestEditor/fT7OzD1l6iP9/Web/main.html?v=1.0.40.181; sourceExists=True; sourceBytes=8539
