2026-09-24 14:41:09.684 [INFO] [QUEST] WEB: Simulator получил snapshot. | {"points":5192,"selectedPointId":null,"player":{"x":158898,"y":89.5193,"z":-76926.55},"version":"1.0.40.180-LOCATION-SEARCH-TRACE-R28"}
2026-09-24 14:41:09.685 [INFO] [QUEST] Интерфейс Scene: состояние обновлено. | {"kind":null,"active":false,"requestId":null,"changed":false}
2026-09-24 14:41:39.547 [INFO] [QUEST] WEB: Simulator Web UI готов. | {"canvas":true,"side":true,"url":"file:///C:/Users/Admin/AppData/Local/Temp/.net/AssistQuestEditor/-B4KEquMUt38/Web/simulator.html?v=1.0.40.180"}
2026-09-24 14:41:39.549 [INFO] [QUEST] WEB: Simulator interface layer готов. | {"layer":true,"supportsDialogue":true,"supportsChoice":true}
2026-09-24 14:41:39.550 [INFO] [QUEST] WEB: Web document load завершён. | {"title":"Симулятор","url":"file:///C:/Users/Admin/AppData/Local/Temp/.net/AssistQuestEditor/-B4KEquMUt38/Web/simulator.html?v=1.0.40.180"}
2026-09-24 14:41:39.575 [INFO] [QUEST] Journal: событие добавлено. | {"eventType":"ChannelChanged","timestamp":"2026-09-24T09:41:39.5670563+00:00","source":"Кампания","message":"{\"channel\":\"environment\",\"description\":\"Изменено окружение\"}","entryCount":1,"detached":true}
2026-09-24 14:41:39.583 [INFO] [QUEST] Simulator: событие опубликовано. | {"eventType":"ChannelChanged","timestamp":"2026-09-24T09:41:39.5670563+00:00","source":"Кампания","payload":{"channel":"environment","description":"Изменено окружение"},"runtimeState":{"QuestId":"tutorial_ruslan_shashlik","CurrentNodeId":null,"Status":0,"WaitingFor":null,"LastEvent":"","LastTransition":""}}
2026-09-24 14:41:39.726 [INFO] [QUEST] Quest UI: snapshot, ожидаемая цель и Runtime. | {"stage":"snapshot","questId":"tutorial_ruslan_shashlik","questName":"Спецмаринад для Руслана — учебный квест","graphNodes":21,"graphConnections":20,"runtimeState":{"QuestId":"tutorial_ruslan_shashlik","CurrentNodeId":null,"Status":0,"WaitingFor":null,"LastEvent":"","LastTransition":""},"currentNode":null,"target":null}
2026-09-24 14:41:39.828 [INFO] [QUEST] Journal: открытие окна. | {"entryCount":1,"detached":true}
2026-09-24 14:41:39.877 [INFO] [QUEST] Journal: native окно показано. | {"entryCount":1}
2026-09-24 14:41:39.916 [INFO] [QUEST] WEB: Дорожная геометрия получена. | {"segments":98341}
